index,adress,arrondissement,date,school,lat,long
213,Rue des Amandiers,20,2021-09-02T20:00:00-04:00,Oui,48.8679084,2.388605363
214,Villa Berthier,17,2021-07-05T20:00:00-04:00,Non,48.88520946,2.293045943
215,Rue Louise Bourgeois,13,2021-11-18T20:00:00-05:00,Oui,48.82650638,2.378687951
216,,12,2022-08-15T20:00:00-04:00,Non,48.83122041,2.416831361
217,Impasse de la Chapelle,18,2022-05-26T20:00:00-04:00,Non,48.89264025,2.359237427
218,0,20,2009-01-26T20:00:00-05:00,Non,48.86422172,2.388278131
219,0,19,2012-07-16T22:00:00-04:00,Non,48.89755008,2.382528036
220,0,2,2005-04-07T22:00:00-04:00,Non,48.86838759,2.35020965
221,0,19,,Non,48.88780131,2.381302645
222,Place Henri Frenay,12,,Non,48.84482796,2.377068194
223,0,20,2010-10-07T22:00:00-04:00,Non,48.86629758,2.388314493
224,Place des Fêtes,19,,Non,48.87689403,2.394296106
225,Rue de l'Arbre Sec,1,2021-07-05T20:00:00-04:00,Non,48.85976132,2.342066496
226,0,20,,Non,48.86791126,2.404376609
227,Zac Chalon,12,2005-06-30T22:00:00-04:00,Non,48.84475557,2.378847004
228,0,5,,Non,48.8525712,2.347103353
229,0,7,,Non,48.85880634,2.307885563
